,circular,ratio_a,ratio_b,ratio_pitch,ratio_top_diameter,ratio_shear_modulus,n_longerons,n_storeys,twist_angle,twist_rate_total,ratio_brace_height,ratio_a_lig,ratio_b_lig,chirality_offset
210,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.4044700791127979,0.0157588556017726,0.019725476309657,-0.2809894669800997
211,12.0,0.0067345565067423,0.0067412978045469,0.4746491958917095,0.1207951056249723,0.3677,3.0,1.0,0.0,2.132863055743641,,,,
212,12.0,0.0081239472618513,0.0081320793411925,0.5726960750044487,0.4159704761207103,0.3677,3.0,1.0,0.0,0.0367097643301911,,,,
213,12.0,0.0052086540926939,0.0052138679606545,0.4050789997802752,0.2057104597985744,0.3677,3.0,1.0,0.0,1.0889231979078848,,,,
214,12.0,0.0114633218458559,0.0114747966424984,0.6196435040467401,0.2621568323671818,0.3677,3.0,1.0,0.0,0.2228653275571828,,,,
215,12.0,0.0048522797320603,0.0048571368689293,0.3173802082275551,0.4630161537230015,0.3677,3.0,1.0,0.0,0.3187674841543644,,,,
216,12.0,0.006578544079992,0.0065851292092012,0.4078345244975352,0.2288766805827617,0.3677,3.0,1.0,0.0,0.9343279462955114,,,,
217,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.1764446621760725,0.0084574667876586,0.0277791365757584,0.0023133751004934
218,12.0,0.0036414772649465,0.0036451223873338,0.2649743833615295,0.3449043600261211,0.3677,3.0,1.0,0.0,0.8308527731965959,,,,
219,12.0,0.0089115206177014,0.0089204410587602,0.5967480828736917,0.340694632330497,0.3677,3.0,1.0,0.0,0.6772397258167447,,,,
220,12.0,0.0065283970011713,0.0065349319331045,0.4601191457767946,0.1207951056249723,0.3677,3.0,1.0,0.0,2.083775711993641,,,,
221,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.5041597700677812,0.0105544459298253,0.0196825217530131,0.0817162591964006
222,12.0,0.0100662615824556,0.010076337920376,0.6554718430608848,0.2707595248520374,0.3677,3.0,1.0,0.0,0.3484838890180984,,,,
223,12.0,0.0066702804293531,0.0066769573867398,0.4647279369032368,0.1207951056249723,0.3677,3.0,1.0,0.0,2.107124569403628,,,,
224,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.1900536023080348,0.0076707182107493,0.0245691797994077,0.2577755123376846
225,12.0,0.0066085139915747,0.0066151291206954,0.4584952377712596,0.1259700518946601,0.3677,3.0,1.0,0.0,2.083775711993641,,,,
226,12.0,0.0068127594341721,0.0068195790131853,0.4746491958917095,0.1332951056249723,0.3677,3.0,1.0,0.0,2.132863055743641,,,,
227,12.0,0.0048501796354393,0.0048550346701095,0.3642287251583746,0.2951110093295574,0.3677,3.0,1.0,0.0,0.4857504932685191,,,,
228,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.3016679720953106,0.011015052489005,0.0039785432294011,0.1344775395467877
229,12.0,0.0066234865455214,0.0066301166621835,0.4668210237279641,0.1280013644362594,0.3677,3.0,1.0,0.0,2.1079081025720297,,,,
230,12.0,0.0084097805040688,0.0084181987027716,0.5819052321830386,0.2680679249317665,0.3677,3.0,1.0,0.0,0.7189288718944566,,,,
231,12.0,0.0077755993276759,0.0077833827103863,0.4429976005465195,0.2218755162503795,0.3677,3.0,1.0,0.0,0.35248690475,,,,
232,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.7090435452759266,0.0125606861142441,0.0058595961444079,0.2745057161897421
233,12.0,0.0067432417567404,0.0067499917484889,0.4492587265017821,0.4093575884737254,0.3677,3.0,1.0,0.0,0.4317329108161468,,,,
234,12.0,0.0066268631561377,0.0066334966527905,0.4587671352516138,0.1332951056249723,0.3677,3.0,1.0,0.0,2.083775711993641,,,,
235,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.7241749382577837,0.0112175849359482,0.0109487879797816,-0.2873201435431838
236,12.0,0.0066039875284601,0.0066105981265867,0.4654467398000588,0.1332951056249723,0.3677,3.0,1.0,0.0,2.132863055743641,,,,
